date,direction,amount
2024-12-10 13:03:48,token0to1,13155332800348425
2024-12-10 12:55:02,token1to0,297770154373927925
2024-12-10 12:54:58,token1to0,119550192401090887
2024-12-10 12:50:40,token0to1,16634060539312826
2024-12-10 12:48:06,token0to1,16802325695249698
2024-12-10 12:42:49,token0to1,17131550809759886
2024-12-10 12:42:41,token0to1,23203009455387108
2024-12-10 12:38:54,token1to0,299124710106979912
2024-12-10 12:38:48,token1to0,222600392373314376
2024-12-10 12:35:43,token1to0,230107759178016399
2024-12-10 12:34:45,token1to0,135929980384086464
2024-12-10 12:31:26,token0to1,10003472349022862
2024-12-10 12:20:02,token0to1,21978685505539955
2024-12-10 12:19:56,token0to1,17083101748095946
2024-12-10 12:19:46,token0to1,16950931763396602
2024-12-10 12:19:26,token0to1,10993178732596424
2024-12-10 12:12:13,token1to0,236102925294811818
2024-12-10 12:05:36,token1to0,301333936242369453
2024-12-10 12:00:52,token1to0,136369056214881760
2024-12-10 11:47:40,token1to0,237242446468542183
2024-12-10 11:47:30,token1to0,299354292960401433
2024-12-10 11:46:56,token1to0,135613643607281040
2024-12-10 11:46:32,token1to0,229822965099614645
2024-12-10 11:46:10,token1to0,149259300720176128
2024-12-10 11:46:08,token1to0,135064393898313088
2024-12-10 11:41:20,token0to1,16963609352124656
2024-12-10 11:39:28,token0to1,10003427550173514
2024-12-10 11:33:18,token0to1,17824159272814936
2024-12-10 11:27:17,token1to0,135594917483434992
2024-12-10 11:22:35,token0to1,18120518294333892
2024-12-10 11:22:17,token0to1,18945591271979900
2024-12-10 11:22:01,token0to1,17305645503384724
2024-12-10 11:21:39,token0to1,5754352596894347
2024-12-10 11:19:25,token0to1,18331731041110500
2024-12-10 11:19:01,token0to1,17259881727143982
2024-12-10 11:17:05,token1to0,230447394126496211
2024-12-10 11:16:55,token1to0,232740523242705373
2024-12-10 11:16:41,token1to0,140088202764473536
2024-12-10 11:13:53,token0to1,22154596080011448
2024-12-10 11:13:47,token0to1,17522646606203448
2024-12-10 11:13:17,token0to1,17181317043729744
2024-12-10 11:12:39,token0to1,17056659873756464
2024-12-10 11:12:29,token0to1,10003359221054236
2024-12-10 11:09:30,token0to1,22228955349175948
2024-12-10 11:09:30,token0to1,10003382245279652
2024-12-10 11:08:54,token0to1,17456228047319746
2024-12-10 11:03:32,token0to1,16863767188866848
2024-12-10 10:55:58,token1to0,138509362383206192
2024-12-10 10:52:06,token1to0,227769360967989973
2024-12-10 10:51:48,token1to0,307597662257766851
2024-12-10 10:51:26,token1to0,230163708730036040
2024-12-10 10:41:06,token1to0,137453652581434720
2024-12-10 10:39:58,token0to1,16722335902439986
2024-12-10 10:39:32,token0to1,10006573737692546
2024-12-10 10:39:32,token0to1,22336385972749611
2024-12-10 10:38:14,token0to1,18052756433833144
2024-12-10 10:25:45,token1to0,285603531654245524
2024-12-10 10:25:37,token1to0,243441837798927914
2024-12-10 10:24:37,token1to0,248289611108289816
2024-12-10 10:23:27,token1to0,268663201347062734
2024-12-10 10:21:19,token0to1,18524297150837796
2024-12-10 10:20:25,token0to1,19038494492981976
2024-12-10 10:19:23,token0to1,19460895871890668
2024-12-10 10:18:55,token0to1,10537898273533630
2024-12-10 10:17:31,token0to1,22351503330338096
2024-12-10 10:17:11,token0to1,17965450036388002
2024-12-10 10:16:33,token0to1,17852707109791952
2024-12-10 10:15:41,token0to1,18375397603051996
2024-12-10 10:15:33,token0to1,23901057277176676
2024-12-10 10:15:29,token0to1,19313910451271676
2024-12-10 10:11:23,token1to0,187525412148631680
2024-12-10 10:09:31,token1to0,256107101251431150
2024-12-10 10:06:27,token1to0,5933586981984769
2024-12-10 10:06:15,token1to0,239209882013929607
2024-12-10 10:04:55,token0to1,18192483751355104
2024-12-10 10:04:37,token0to1,10003468043860892
2024-12-10 10:04:17,token0to1,17496877338413046
2024-12-10 10:03:11,token1to0,238189991909669488
2024-12-10 10:00:03,token1to0,383555527455031214
2024-12-10 09:59:11,token1to0,141118419054840767
2024-12-10 09:55:25,token1to0,30663497881281218
2024-12-10 09:52:34,token0to1,16908655796163498
2024-12-10 09:51:46,token1to0,358296981463701624
2024-12-10 09:50:34,token1to0,234387311815765358
2024-12-10 09:49:50,token0to1,9866045204081273
2024-12-10 09:49:26,token0to1,22423626452084366
2024-12-10 09:49:24,token0to1,10003688036144036
2024-12-10 09:49:06,token0to1,18589418616733260
2024-12-10 09:47:42,token1to0,312146318586837593
2024-12-10 09:46:50,token0to1,16913700131513658
2024-12-10 09:46:40,token0to1,17054087602019052
2024-12-10 09:46:16,token0to1,17870308506491850
2024-12-10 09:45:56,token0to1,17429146847828880
2024-12-10 09:41:48,token1to0,180000000000000000
2024-12-10 09:41:42,token1to0,140175708625622224
2024-12-10 09:37:44,token1to0,62383355780015797
2024-12-10 09:36:32,token0to1,11575942161639299
2024-12-10 09:33:02,token1to0,232733502415787968
2024-12-10 09:32:36,token1to0,242543955868253689
2024-12-10 09:32:16,token1to0,233525683256875861
2024-12-10 09:31:15,token1to0,233294326991653485
2024-12-10 09:26:09,token1to0,248005417576598457
2024-12-10 09:25:19,token1to0,249889126431190354
2024-12-10 09:24:07,token1to0,234886776948585855
2024-12-10 09:17:35,token1to0,306879976637971078
2024-12-10 09:12:24,token1to0,230833319567158043
2024-12-10 09:04:44,token0to1,17654232027611446
2024-12-10 09:04:12,token0to1,18575002616756304
2024-12-10 09:01:52,token1to0,241675159382873015
2024-12-10 09:01:16,token1to0,252975077887398785
2024-12-10 09:01:04,token1to0,238246150858852207
2024-12-10 09:00:34,token1to0,353530938396203323
2024-12-10 09:00:18,token1to0,232744804474571546
2024-12-10 08:57:08,token0to1,17231076669584456
2024-12-10 08:56:40,token1to0,163570458178875501
2024-12-10 08:56:10,token0to1,19345910876546196
2024-12-10 08:53:18,token0to1,17945684948004688
